season,series_id,race_id,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2001,W,2001_Daytona_500,1,19,15,usa,Michael_Waltrip,Michael Waltrip,NAPA,"Dale_Earnhardt,_Inc.",Chevrolet,200,1331185,running,27,180
2001,W,2001_Daytona_500,2,6,8,usa,Dale_Earnhardt_Jr,"Dale Earnhardt, Jr.",Budweiser,"Dale_Earnhardt,_Inc.",Chevrolet,200,975907,running,13,175
2001,W,2001_Daytona_500,3,12,2,usa,Rusty_Wallace,Rusty Wallace,Miller Lite,Roger_Penske,Ford,200,676224,running,0,165
2001,W,2001_Daytona_500,4,30,28,usa,Ricky_Rudd,Ricky Rudd,Texaco / Havoline,Yates_Racing,Ford,200,517831,running,0,160
2001,W,2001_Daytona_500,5,1,9,usa,Bill_Elliott,Bill Elliott,Dodge Dealers / UAW,Ray_Evernham,Dodge,200,392582,running,1,160
2001,W,2001_Daytona_500,6,27,7,usa,Mike_Wallace,Mike Wallace,NationsRent,Jim_Smith,Ford,200,275269,running,0,150
2001,W,2001_Daytona_500,7,3,40,usa,Sterling_Marlin,Sterling Marlin,Coors Light,Chip_Ganassi,Dodge,200,262354,running,39,151
2001,W,2001_Daytona_500,8,35,55,usa,Bobby_Hamilton,Bobby Hamilton,Square D,Andy_Petree,Chevrolet,200,189259,running,0,142
2001,W,2001_Daytona_500,9,38,12,usa,Jeremy_Mayfield,Jeremy Mayfield,Mobil 1,Roger_Penske,Ford,200,207168,running,0,138
2001,W,2001_Daytona_500,10,2,92,usa,Stacy_Compton,Stacy Compton,Kodiak,Mark_Melling,Dodge,200,168770,running,0,134
2001,W,2001_Daytona_500,11,32,33,usa,Joe_Nemechek,Joe Nemechek,Oakwood Homes,Andy_Petree,Chevrolet,200,174754,running,0,130
2001,W,2001_Daytona_500,12,7,3,usa,Dale_Earnhardt,Dale Earnhardt,GM Goodwrench,Richard_Childress,Chevrolet,199,194111,crash,17,132
2001,W,2001_Daytona_500,13,14,36,usa,Ken_Schrader,Ken Schrader,M&M's / Combos,Nelson_Bowers,Pontiac,199,154874,crash,7,129
2001,W,2001_Daytona_500,14,39,77,usa,Robert_Pressley,Robert Pressley,Jasper Engines,Doug_Bawel,Ford,199,142809,running,0,121
2001,W,2001_Daytona_500,15,43,11,usa,Brett_Bodine,Brett Bodine,Ralph's Supermarkets,Brett_Bodine,Ford,199,133509,running,1,123
2001,W,2001_Daytona_500,16,28,45,usa,Kyle_Petty,Kyle Petty,Sprint PCS,Petty_Enterprises,Dodge,199,125909,running,0,115
2001,W,2001_Daytona_500,17,42,14,usa,Ron_Hornaday_Jr,"Ron Hornaday, Jr.",Conseco,A.J._Foyt,Pontiac,199,129534,running,0,112
2001,W,2001_Daytona_500,18,40,21,usa,Elliott_Sadler,Elliott Sadler,Motorcraft,Wood_Brothers,Ford,199,127909,running,0,109
2001,W,2001_Daytona_500,19,8,99,usa,Jeff_Burton,Jeff Burton,Citgo Supergard,Jack_Roush,Ford,199,155884,running,0,106
2001,W,2001_Daytona_500,20,21,19,usa,Casey_Atwood,Casey Atwood,Dodge Dealers,Ray_Evernham,Dodge,198,128034,running,0,103
2001,W,2001_Daytona_500,21,16,17,usa,Matt_Kenseth,Matt Kenseth,DeWalt Tools Rookie of the Year,Jack_Roush,Ford,196,136584,running,0,100
2001,W,2001_Daytona_500,22,31,88,usa,Dale_Jarrett,Dale Jarrett,UPS,Yates_Racing,Ford,186,167711,crash,1,102
2001,W,2001_Daytona_500,23,18,32,usa,Ricky_Craven,Ricky Craven,Tide,Cal_Wells,Ford,185,122484,running,0,94
