race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5259,16,16,Accident,"#34, 43 Incident Turn 2",38,2
5259,23,23,Accident,"#9, 12, 14, 54, 99 Incident Turn 3",None,2
5259,42,42,Accident,"#16, 38, 54 Incident Turn 2",9,2
5259,73,73,Accident,"#1, 11 Incident Turn 2",10,2
5259,75,75,Competition,Stage Conclusion,9,2
5259,76,76,Accident,"#11, 54 Incident Turn 2",16,2
5259,78,78,Accident,"#4, 38 Incident Turn 2",12,2
5259,81,81,Accident,"#11, 20, 34, 54 Incident Turn 2",4,2
5259,81,81,Accident,"#4, 38 Incident Turn 2",None,2
5259,85,85,Accident,"#2, 16, 20 Incident Turn 2",None,2
5259,86,86,Accident,"#8, 22 Incident Turn 3",None,2
5259,106,106,Accident,"#14, 31, 45 Incident Turn 2 ",2,2
5259,109,109,Accident,"#14, 42 Incident Turn 3",None,2
5259,113,113,Accident,"#1, 12, 45 Incident Turn 2",14,2
5259,140,140,Unknown,#34 Stopped On Track,None,2
5259,143,143,Accident,"#3, 23 Incident Turn 1",None,2
5267,7,10,Debris,Debris Backstretch,None,2
5267,42,46,Accident,"#8, 99, 67, 62, 15, 31 Incident Backstretch",78,2
5268,67,71,Competition,Stage 1 Conclusion,16,2
5268,119,124,Accident,"#45, 19, 12, 9, 43, 8, 5, 99, 4 Incident Turn 4",23,2
5268,132,137,Competition,Stage 2 Conclusion,8,2
5268,140,143,Debris,Debris Turn 2,15,2
5268,183,187,Accident,"#4, 19, 41, 14, 54, 84, 34 Incident Turn 2",12,2
5268,199,202,Spin,#99 Spin Frontstretch,12,2
5268,204,210,Accident,"#2, 38, 21, 42, 3, 31, 15, 84, 24, 36, 11, 6, 1 Incident Turn 3",99,2
5268,212,212,Accident,"#12, 10, 2, 23, 6, 5, 8, 11, 16 Incident Turn 2",None,2
5269,17,20,Competition,Competition Caution,None,2
5269,43,46,Accident,"#6, 7 Incident Backstretch",51,2
5269,67,72,Competition,Stage 1 Conclusion,14,2
5269,76,79,Accident,#16 Incident Backstretch,6,2
5269,82,86,Spin,#7 Spin Turn 4,51,2
5269,88,92,Accident,"#41, 20, 12, 10, 45, 51, 77, 31, 38 Incident Frontstretch",19,2
5269,132,137,Competition,Stage 2 Conclusion,42,2
5269,142,145,Unknown,#77 Stopped on Track,19,2
5270,82,89,Competition,Stage 1 Conclusion,41,2
5270,167,173,Competition,Stage 2 Conclusion ,7,2
5270,184,189,Spin,No. 22 Spin Turn 4,2,2
5270,265,269,Spin,No. 10 Spin Turn 4,43,2
5271,62,68,Competition,Stage 1 Conclusion,22,2
5271,139,146,Accident,#10 Incident Turn 4,54,2
5271,187,194,Competition,Stage 2 Conclusion,3,2
5271,303,309,Spin,#21 Spin Frontstretch,3,2
5271,311,315,Accident,"#16, #42, #54 Incident Turn 2",99,2
5272,11,15,Accident,No. 23 Incident Backstretch ,None,2
5272,62,67,Competition,Stage 1 Conclusion,23,2
5272,162,168,Competition,Stage 2 Conclusion,78,2
5272,191,199,Accident,"Nos. 4, 17, 9, 24, 1, 8, 45, 23, 14, 3, 21, 78 Incident Backstretch",12,2
5272,210,216,Accident,"Nos. 10, 5, 99, 45, 31 Incident Turn 4",14,2
5273,3,5,Accident,"#6, 17, 38, 77, 84 Incident Turns 19 and 20",None,2
5273,13,15,Accident,"#5, 11 Incident Frontstretch",None,2
5273,42,43,Debris,Debris Turn 9,12,2
5273,58,59,Unknown,#6 Stopped Turn 7,7,2
5273,61,61,Unknown,#1 Stopped Turn 1,7,2
5273,66,67,Debris,Debris From #3,None,2
5273,69,70,Debris,Debris From #12,5,2
5273,72,73,Debris,Debris From #99,5,2
5274,32,38,Competition,Competition Caution,None,2
5274,46,50,Accident,"#11, 15 Incident Turn 1",None,2
5274,72,79,Competition,Stage 1 Conclusion,15,2
5274,96,101,Accident,"#12, 9 Incident Turn 4",15,2
5274,232,240,Competition,Stage 2 Conclusion,38,2
5274,307,312,Accident,#42 Incident Turn 2,38,2
5274,373,379,Spin,#45 Spin Turn 2,None,2
5274,381,386,Accident,"#20, 24, 4 Incident Turn 1",7,2
5280,12,20,Accident,"#22, 23, 24, 38 Incident Turn 2",None,2
5280,39,45,Spin,#51 Spin Turn 4,38,2
5280,59,64,Spin,#6 Spin Turn 4,43,2
5280,75,75,Accident,"#11, 9, 77 Incident Turn 4 / Stage 1 Conclusion",6,2
5280,82,86,Spin,#13 Spin Turn 4,43,2
5280,89,94,Spin,#34 Spin Turn 2,43,2
5280,104,111,Spin,#41 Spin Backstretch,16,2
5280,127,131,Spin,#6 Spin Turn 2,41,2
5280,150,150,Competition,Stage 2 Conclusion,41,2
5280,157,161,Spin,#5 Spin Turn 4,6,2
5280,176,181,Accident,"#5, 41 Incident Turn 1",16,2
5280,202,207,Spin,#4 Spin Turn 1,16,2
5280,236,242,Spin,#8 Spin Turn 4,15,2
5280,250,250,Accident,"#9, 99, 1 Incident Backstretch",None,2
5275,82,91,Competition,Stage 1 Conclusion,22,2
5275,134,142,Spin,#21 Spin Turn 2,51,2
5275,182,192,Competition,Stage 2 Conclusion,21,2
5275,304,312,Debris,Debris Frontstretch,12,2
5275,344,354,Accident,#15 Incident Turn 3,8,2
5281,3,6,Accident,#34 Incident in Turn 4,None,2
5281,44,47,Unknown,#14 Stopped on PIt Road,45,2
5281,62,67,Competition,Stage 1 Conclusion,14,2
5281,122,126,Competition,Stage 2 Conclusion,22,2
5281,143,147,Accident,"#3, 21, 38, 42 and 62 Incident in Turn 3",14,2
5281,185,189,Accident,"#7, 15, 21, 22, 24, 47 and 99 Incident in Turn 2",78,2
5281,191,194,Accident,"#1, 4, 5, 10, 41, 42 and 54 Incident in Turn 2",62,2
5281,196,196,Accident,"#2, 6, 16, 19 and 23 Incident in Turn 2",None,2
5282,22,27,Competition,Competition,None,2
5282,29,33,Accident,#42 Incident Backstretch,None,2
5282,36,41,Accident,"#99, 77, 78 Incident Frontstretch",42,2
5282,82,89,Accident,"#5, 15, 1 Incident Turn 1",23,2
5282,122,129,Competition,Stage 1 Conclusion,3,2
5282,252,258,Competition,Stage 2 Conclusion,23,2
5282,388,393,Accident,#22 Incident Turn 4,45,2
5284,6,9,Accident,"#5, #45 Incident Frontstretch",None,2
5284,82,88,Competition,Stage 1 Conclusion,2,2
5284,109,113,Spin,#2 Spin,16,2
5284,139,143,Spin,#10 Spin Backstretch,None,2
5284,149,153,Accident,"#43 Spin, #48, #54, #17, #43 Incident Off Turn 2 ",24,2
5284,159,162,Spin,#20 Spin Backstretch,7,2
5284,164,170,Spin,"#8 Spin Backstretch, Stage 2 Conclusion",31,2
5284,178,183,Spin,#54 Spin Backstretch,10,2
5284,192,195,Spin,#21 Spin Off Turn 2,51,2
5284,207,211,Spin,#42 Spin Backstretch,None,2
5284,216,220,Spin,"#43 Spin, #48 Spin Off Turns 3-4",42,2
5283,39,43,Unknown,Fluid on track,16,2
5283,92,98,Competition,Stage 1 Conclusion,17,2
5283,186,193,Competition,Stage 2 Conclusion,41,2
5283,195,201,Accident,"Nos. 2, 38, 42, 99, 43, 51, 34, 3, 54 Incident Backstretch",17,2
5283,211,215,Spin,No. 47 Spin Turn 3,31,2
5283,277,280,Spin,No. 51 Spin Turn 4,54,2
5283,282,287,Accident,"No. 19, 45, 22, 4, 9, 6, 10, 12 Incident Turn 1",47,2
5283,289,293,Accident,"Nos. 1, 5 Incident Turn 1",2,2
5285,42,47,Competition,Competition Break,77,2
5285,51,56,Accident,"#13, 16, 38, 42, 51 Incident Turn 1",78,2
5285,58,63,Accident,"#31, 34, 54 Incident Turn 4",None,2
5286,17,20,Accident,"#43, 47 Incident Turn 4",None,2
5286,102,110,Competition,Competition Break,19,2
5287,37,41,Competition,Competition Caution ,78,2
5287,76,79,Accident,Incident Turn 2 No. 84,78,2
5287,102,107,Competition,Stage 1 Conclusion ,14,2
5287,157,163,Unknown,Precipitation ,2,2
5287,165,169,Accident,Incident Backstretch No. 84,23,2
5287,177,181,Accident,"Incident Backstretch Nos. 6, 8 & 99",7,2
5287,187,191,Accident,Incident Frontstretch Nos. 11 & 9,14,2
5287,201,207,Accident,Stage 2 Conclusion/Incident Frontstretch No. 78,38,2
5287,233,236,Spin,Spin Frontstretch No. 20,99,2
5287,276,280,Accident,Incident Backstretch Nos. 6 & 51,99,2
5287,302,307,Competition,Stage 3 Conclusion,10,2
5287,345,349,Debris,Debris Turn 2,41,2
5287,359,362,Accident,Incident Frontstretch Nos. 4 & 45,1,2
5287,364,369,Accident,Incident Turn 4 Nos. 16 & 21,99,2
5287,371,374,Accident,Incident Backstretch No. 2,6,2
5287,376,380,Accident,"Incident Turn 2 Nos. 5, 54, 20, 22, & 10",6,2
5288,3,8,Accident,#45 and 47 Incident in Turn 1 [Red Flag: 1:45:09],None,2
5288,47,53,Competition,Stage 1 Conclusion,77,2
5288,55,58,Accident,#1 and 34 Incident in Turn 2,51,2
5288,92,102,Accident,#7 Incident in Turn 1,78,2
5288,142,148,Competition,Stage 2 Conclusion,15,2
5288,176,183,Accident,#45 Incident in Turn 2,15,2
5288,199,203,Accident,#42 Incident in Turn 1 [Red Flag: 9:19],6,2
5288,206,209,Accident,#2 and 20 Incident in Turn 2 ,6,2
5288,214,217,Unknown,#15 Stalled on the Frontstretch,14,2
5288,220,225,Accident,"#2, 3 and 47 Incident in Turn 1 [Red Flag: 4:37]",15,2
5288,237,241,Accident,#23 Incident in Turn 1,15,2
5289,51,53,Unknown,Uncontrolled Tire On Pit Road,31,2
5289,93,95,Accident,#11 Incident Frontstretch,42,2
5310,9,11,Unknown,Potential Fluid On Frontstretch,None,2
5310,21,25,Accident,"#1, 07, 11 Incident Frontstretch",None,2
5310,32,36,Competition,Stage 1 Conclusion,None,2
5310,42,45,Accident,"#7, 45, 48, 2, 21, 10 Incident Frontstretch",None,2
5310,62,66,Spin,#18 Spin Frontstretch / Stage 2 Conclusion,45,2
5310,90,94,Accident,#35 Incident Frontstretch,28,2
5310,120,123,Accident,"#8, 9 Incident Backstretch",18,2
5310,125,125,Accident,"#7, 1, 21 Incident Backstretch",None,2
5311,17,19,Competition,Competition Caution,None,2
5311,28,31,Accident,#08 Incident Turn 2,None,2
5311,37,41,Competition,Stage 1 Conclusion,None,2
5311,45,48,Accident,"#2, 8 Incident Backstretch",9,2
5311,63,65,Spin,#8 Spin Turn 2,7,2
5311,72,76,Competition,Stage 2 Conclusion,9,2
5311,87,90,Spin,#9 Spin Turn 4,None,2
5311,92,95,Accident,"#00, 10, 19 Incident Turn 2",9,2
5311,129,133,Spin,#43 Spin Turn 2,39,2
5311,135,138,Accident,"#18, 21, 2 Incident Backstretch",91,2
5312,4,6,Spin,No. 48 Spin Turn 2,None,2
5312,47,53,Competition,Stage 1 Conclusion,45,2
5312,75,78,Spin,No. 8 Spin Turn 4,51,2
5312,90,97,Spin,No. 45 Spin Turn 2 / Stage 2 Conclusion,4,2
5313,30,35,Debris,Debris,07,2
5313,40,43,Spin,#8 Spin Turn 3,53,2
5313,47,55,Competition,Stage 1 Conclusion,None,2
5313,57,62,Spin,#25 Spin Turn 3,74,2
5313,70,74,Accident,"#24, #92 Incident Turn 2",74,2
5313,85,88,Accident,"#1, #8 Incident Turn 2",74,2
5313,92,100,Competition,Stage 2 Conclusion,74,2
5313,140,147,Accident,#08 Incident Turn 1,24,2
5313,150,156,Spin,#2 Spin Turn 2,91,2
5313,172,176,Spin,#78 Spin Turn 2,07,2
5313,180,185,Accident,"#25, #26, #7 Incident Turn 4",44,2
5314,3,7,Accident,"Nos. 53, 66 Incident Frontstretch",None,2
