race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5543,20,20,Accident,"#99, 4, 8 Incident Turn 3",None,2
5543,78,78,Accident,"#24, 34 Incident Frontstretch",4,2
5543,100,100,Unknown,Halfway Break,24,2
5543,102,102,Accident,"#2, 5, 19 Incident Turn 1",8,2
5543,108,108,Accident,"#77, 20, 22 Incident Turn 3",8,2
5543,115,115,Accident,"#24, 5, 77, 19 Incident Turn 2",None,2
5543,120,120,Accident,"#23, 6 Incident Turn 1",None,2
5544,4,7,Accident,#38 Incident Turn 4,None,2
5544,15,19,Accident,"#66,, 7, 54, 91 Incident Turn 2",None,2
5544,26,28,Debris,Debris Turn 4,None,2
5544,44,46,Debris,Debris Backstretch,None,2
5545,49,53,Accident,"#6, 48, 99 Incident Backstretch",None,2
5545,60,60,Accident,"#5, 88, 35, 62, 51 Incident Frontstretch",None,2
5546,10,23,Weather,Weather [Red Flag: 03:09:59; Red Flag: 00:20:29],None,2
5546,64,70,Accident,"#11, 38, 21 Incident Backstretch / Stage 1 Conclusion",None,2
5546,72,76,Accident,"#91, 1, 19, 84, 8, 35, 56 Incident Turn 1",21,2
5546,84,86,Debris,Debris Turn 1,22,2
5546,132,137,Competition,Stage 2 Conclusion,88,2
5546,163,165,Debris,Debris Turn 1,88,2
5546,187,192,Accident,"#22, 12, 4, 9, 8, 47, 34, 41 Incident Backstretch",10,2
5546,197,199,Accident,"#20, 41, 60, 6, 5, 43, 99, 23 Incident Backstretch [Red Flag: 00:06:05]",10,2
5547,62,68,Competition,Stage 1 Conclusion,None,2
5547,83,88,Accident,#10 Incident Turn 4,71,2
5547,103,107,Accident,"#43, 17 Incident Backstretch",71,2
5547,135,140,Debris,Debris on Backstretch,71,2
5547,151,156,Accident,"#9, 6, 01 Incident Frontstretch",71,2
5547,162,168,Competition,Stage 2 Conclusion,71,2
5547,185,192,Accident,"#4, 38, 44, 41, 47, 51, 54, 99 Incident Frontstretch",71,2
5547,206,212,Accident,"#17, 48, 54 Incident Frontstretch",9,2
5547,235,238,Spin,#12 Spin Turn 1,48,2
5547,259,264,Accident,"#2, 24 Incident Backstretch",48,2
5547,266,266,Accident,"#21, 7, 60 Incident Backstretch",None,2
5551,22,25,Competition,Stage 1 Conclusion,10,2
5551,47,49,Competition,Stage 2 Conclusion,None,2
