race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5546,1,Joey Logano,3859,22,1,10
5546,1,Brad Keselowski,1816,6,2,9
5546,1,Ryan Blaney,4023,12,3,8
5546,1,Ricky Stenhouse Jr,3888,47,4,7
5546,1,Christopher Bell,4153,20,5,6
5546,1,Daniel Suárez,4113,99,6,5
5546,1,Alex Bowman,4045,48,7,4
5546,1,Tyler Reddick,4065,45,8,3
5546,1,Erik Jones,4059,43,9,2
5546,1,William Byron,4184,24,10,1
5546,2,Ryan Blaney,4023,12,1,10
5546,2,Austin Cindric,4180,2,2,9
5546,2,Chase Elliott,4062,9,3,8
5546,2,Alex Bowman,4045,48,4,7
5546,2,Todd Gilliland,4231,34,5,6
5546,2,Chris Buescher,3989,17,6,5
5546,2,Erik Jones,4059,43,7,4
5546,2,Joey Logano,3859,22,8,3
5546,2,Bubba Wallace,4025,23,9,2
5546,2,Kyle Busch,454,8,10,1
5547,1,Josh Berry,4123,21,1,10
5547,1,Austin Cindric,4180,2,2,9
5547,1,William Byron,4184,24,3,8
5547,1,Bubba Wallace,4025,23,4,7
5547,1,Chase Elliott,4062,9,5,6
5547,1,Tyler Reddick,4065,45,6,5
5547,1,Todd Gilliland,4231,34,7,4
5547,1,Ryan Blaney,4023,12,8,3
5547,1,Carson Hocevar,4326,77,9,2
5547,1,Joey Logano,3859,22,10,1
5547,2,Kyle Larson,4030,5,1,10
5547,2,Bubba Wallace,4025,23,2,9
5547,2,Joey Logano,3859,22,3,8
5547,2,William Byron,4184,24,4,7
5547,2,Alex Bowman,4045,48,5,6
5547,2,Tyler Reddick,4065,45,6,5
5547,2,Carson Hocevar,4326,77,7,4
5547,2,Ricky Stenhouse Jr,3888,47,8,3
5547,2,Austin Cindric,4180,2,9,2
5547,2,Noah Gragson,4224,4,10,1
5551,1,Bubba Wallace,4025,23,1,10
5551,1,Joey Logano,3859,22,2,9
5551,1,Shane Van Gisbergen,4469,88,3,8
5551,1,Kyle Busch,454,8,4,7
5551,1,Chase Elliott,4062,9,5,6
5551,1,Tyler Reddick,4065,45,6,5
5551,1,Kyle Larson,4030,5,7,4
5551,1,Daniel Suárez,4113,99,8,3
5551,1,William Byron,4184,24,9,2
5551,1,AJ Allmendinger,3774,16,10,1
