race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5385,1,Chase Elliott,4062,9,1,10
5385,1,Kyle Larson,4030,5,2,9
5385,1,Ross Chastain,4001,1,3,8
5385,1,Alex Bowman,4045,48,4,7
5385,1,William Byron,4184,24,5,6
5385,1,Kyle Busch,454,8,6,5
5385,1,Denny Hamlin,1361,11,7,4
5385,1,Bubba Wallace,4025,23,8,3
5385,1,Martin Truex Jr,3368,19,9,2
5385,1,Daniel Suárez,4113,99,10,1
5385,2,Ryan Blaney,4023,12,1,10
5385,2,Austin Cindric,4180,2,2,9
5385,2,Daniel Suárez,4113,99,3,8
5385,2,Kyle Busch,454,8,4,7
5385,2,Tyler Reddick,4065,45,5,6
5385,2,William Byron,4184,24,6,5
5385,2,Bubba Wallace,4025,23,7,4
5385,2,Ricky Stenhouse Jr,3888,47,8,3
5385,2,AJ Allmendinger,3774,16,9,0
5385,2,Chris Buescher,3989,17,10,1
5389,1,Michael McDowell,3832,34,1,10
5389,1,Ryan Blaney,4023,12,2,9
5389,1,Ross Chastain,4001,1,3,8
5389,1,Kyle Larson,4030,5,4,7
5389,1,Kyle Busch,454,8,5,6
5389,1,Martin Truex Jr,3368,19,6,5
5389,1,Ricky Stenhouse Jr,3888,47,7,4
5389,1,Bubba Wallace,4025,23,8,3
5389,1,William Byron,4184,24,9,2
5389,1,Todd Gilliland,4231,38,10,1
5389,2,Austin Cindric,4180,2,1,10
5389,2,Kyle Larson,4030,5,2,9
5389,2,Ryan Blaney,4023,12,3,8
5389,2,Daniel Suárez,4113,99,4,7
5389,2,Martin Truex Jr,3368,19,5,6
5389,2,Todd Gilliland,4231,38,6,5
5389,2,Brad Keselowski,1816,6,7,4
5389,2,Harrison Burton,4217,21,8,3
5389,2,Chase Briscoe,4228,14,9,2
5389,2,Chase Elliott,4062,9,10,1
5387,1,Kyle Larson,4030,5,1,10
5387,1,Tyler Reddick,4065,45,2,9
5387,1,Martin Truex Jr,3368,19,3,8
5387,1,Kyle Busch,454,8,4,7
5387,1,Denny Hamlin,1361,11,5,6
5387,1,Ty Gibbs,4368,54,6,5
5387,1,Corey LaJoie,4096,7,7,4
5387,1,Ross Chastain,4001,1,8,3
5387,1,Austin Cindric,4180,2,9,2
5387,1,Christopher Bell,4153,20,10,1
5387,2,Kyle Larson,4030,5,1,10
5387,2,Tyler Reddick,4065,45,2,9
5387,2,Denny Hamlin,1361,11,3,8
5387,2,Ryan Blaney,4023,12,4,7
5387,2,Martin Truex Jr,3368,19,5,6
5387,2,Chase Elliott,4062,9,6,5
5387,2,Austin Dillon,3873,3,7,4
5387,2,Alex Bowman,4045,48,8,3
5387,2,Joey Logano,3859,22,9,2
5387,2,Erik Jones,4059,43,10,1
5388,1,Tyler Reddick,4065,45,1,10
5388,1,Ty Gibbs,4368,54,2,9
5388,1,Denny Hamlin,1361,11,3,8
5388,1,Erik Jones,4059,43,4,7
5388,1,Chase Elliott,4062,9,5,6
5388,1,William Byron,4184,24,6,5
5388,1,Ryan Blaney,4023,12,7,4
5388,1,Michael McDowell,3832,34,8,3
5388,1,Chase Briscoe,4228,14,9,2
5388,1,Martin Truex Jr,3368,19,10,1
5388,2,Christopher Bell,4153,20,1,10
5388,2,Tyler Reddick,4065,45,2,9
5388,2,Denny Hamlin,1361,11,3,8
5388,2,William Byron,4184,24,4,7
5388,2,Martin Truex Jr,3368,19,5,6
5388,2,Ryan Blaney,4023,12,6,5
5388,2,Chase Elliott,4062,9,7,4
5388,2,Noah Gragson,4224,10,8,3
5388,2,Brad Keselowski,1816,6,9,2
5388,2,Chris Buescher,3989,17,10,1
5392,1,Ty Gibbs,4368,54,1,10
5392,1,Kyle Larson,4030,5,2,9
5392,1,Chris Buescher,3989,17,3,8
5392,1,Brad Keselowski,1816,6,4,7
5392,1,John H. Nemechek,4092,42,5,6
5392,1,Ryan Blaney,4023,12,6,5
5392,1,Martin Truex Jr,3368,19,7,4
5392,1,Christopher Bell,4153,20,8,3
5392,1,Ryan Preece,4070,41,9,2
5392,1,Josh Berry,4123,4,10,1
5392,2,Ty Gibbs,4368,54,1,10
5392,2,Brad Keselowski,1816,6,2,9
5392,2,Joey Logano,3859,22,3,8
5392,2,John H. Nemechek,4092,42,4,7
5392,2,Christopher Bell,4153,20,5,6
5392,2,Martin Truex Jr,3368,19,6,5
5392,2,Denny Hamlin,1361,11,7,4
5392,2,Kyle Larson,4030,5,8,3
5392,2,Bubba Wallace,4025,23,9,2
5392,2,Ryan Preece,4070,41,10,1
5390,1,Christopher Bell,4153,20,1,10
5390,1,Daniel Suárez,4113,99,2,9
